id,name,status,species
1,Rick Sanchez,Alive,Human
2,Morty Smith,Alive,Human
3,Summer Smith,Alive,Human
4,Beth Smith,Alive,Human
5,Jerry Smith,Alive,Human
6,Abadango Cluster Princess,Alive,Alien
7,Abradolf Lincler,unknown,Human
8,Adjudicator Rick,Dead,Human
9,Agency Director,Dead,Human
10,Alan Rails,Dead,Human
11,Albert Einstein,Dead,Human
12,Alexander,Dead,Human
13,Alien Googah,unknown,Alien
14,Alien Morty,unknown,Alien
15,Alien Rick,unknown,Alien
16,Amish Cyborg,Dead,Alien
17,Annie,Alive,Human
18,Antenna Morty,Alive,Human
19,Antenna Rick,unknown,Human
20,Ants in my Eyes Johnson,unknown,Human
